Data da Extração,Procurador Responsável,Qtd_Processos
2025-12-08,Francisco da Paz,0
2025-12-08,Luiz Miguel Albuquerque,0
2025-12-08,Brayan Teixeira,0
2025-12-08,Rafael Ramos,1
2025-12-08,Isabela da Paz,0
2025-12-08,Cecilia Costela,1
2025-12-08,Ana Laura Vargas,0
2025-12-08,Anthony Nogueira,0
2025-12-08,Benjamin Moraes,0
2025-12-08,Evelyn da Cruz,0
2025-12-09,Liz Guerra,1
2025-12-09,Leonardo Sales,1
2025-12-09,Francisco da Paz,2
2025-12-09,Luiz Miguel Albuquerque,0
2025-12-09,Brayan Teixeira,1
2025-12-09,Rafael Ramos,0
2025-12-09,Isabela da Paz,0
2025-12-09,Cecilia Costela,0
2025-12-09,Ana Laura Vargas,0
2025-12-09,Anthony Nogueira,3
2025-12-09,Benjamin Moraes,0
2025-12-09,Evelyn da Cruz,0
2025-12-10,Liz Guerra,1
2025-12-10,Leonardo Sales,2
2025-12-10,Francisco da Paz,0
2025-12-10,Luiz Miguel Albuquerque,1
2025-12-10,Brayan Teixeira,0
2025-12-10,Rafael Ramos,1
2025-12-10,Isabela da Paz,3
2025-12-10,Cecilia Costela,0
2025-12-10,Ana Laura Vargas,0
2025-12-10,Anthony Nogueira,1
2025-12-10,Benjamin Moraes,1
2025-12-10,Evelyn da Cruz,1
2025-12-11,Liz Guerra,1
2025-12-11,Leonardo Sales,2
2025-12-11,Francisco da Paz,3
2025-12-11,Luiz Miguel Albuquerque,0
2025-12-11,Brayan Teixeira,1
2025-12-11,Rafael Ramos,1
2025-12-11,Isabela da Paz,2
2025-12-11,Cecilia Costela,0
2025-12-11,Ana Laura Vargas,0
2025-12-11,Anthony Nogueira,2
2025-12-11,Benjamin Moraes,0
2025-12-11,Evelyn da Cruz,1
2025-12-12,Liz Guerra,0
2025-12-12,Leonardo Sales,3
2025-12-12,Francisco da Paz,2
2025-12-12,Luiz Miguel Albuquerque,2
2025-12-12,Brayan Teixeira,1
2025-12-12,Rafael Ramos,1
2025-12-12,Isabela da Paz,4
2025-12-12,Cecilia Costela,1
2025-12-12,Ana Laura Vargas,2
2025-12-12,Anthony Nogueira,0
2025-12-12,Benjamin Moraes,0
2025-12-12,Evelyn da Cruz,0
2025-12-15,Liz Guerra,2
2025-12-15,Leonardo Sales,0
2025-12-15,Francisco da Paz,1
2025-12-15,Luiz Miguel Albuquerque,1
2025-12-15,Brayan Teixeira,2
2025-12-15,Rafael Ramos,0
2025-12-15,Isabela da Paz,0
2025-12-15,Cecilia Costela,3
2025-12-15,Ana Laura Vargas,1
2025-12-15,Anthony Nogueira,0
2025-12-15,Benjamin Moraes,1
2025-12-15,Evelyn da Cruz,0
2025-12-16,Liz Guerra,0
2025-12-16,Leonardo Sales,1
2025-12-16,Francisco da Paz,1
2025-12-16,Luiz Miguel Albuquerque,0
2025-12-16,Brayan Teixeira,0
2025-12-16,Rafael Ramos,1
2025-12-16,Isabela da Paz,1
2025-12-16,Cecilia Costela,0
2025-12-16,Ana Laura Vargas,0
2025-12-16,Anthony Nogueira,1
2025-12-16,Benjamin Moraes,0
2025-12-16,Evelyn da Cruz,0
2025-12-17,Liz Guerra,0
2025-12-17,Leonardo Sales,0
2025-12-17,Francisco da Paz,2
2025-12-17,Luiz Miguel Albuquerque,0
2025-12-17,Brayan Teixeira,0
2025-12-17,Rafael Ramos,2
2025-12-17,Isabela da Paz,1
2025-12-17,Cecilia Costela,0
2025-12-17,Ana Laura Vargas,1
2025-12-17,Anthony Nogueira,2
2025-12-17,Benjamin Moraes,2
2025-12-17,Evelyn da Cruz,1
2025-12-18,Liz Guerra,2
2025-12-18,Leonardo Sales,1
2025-12-18,Francisco da Paz,0
2025-12-18,Luiz Miguel Albuquerque,0
2025-12-18,Brayan Teixeira,1
2025-12-18,Rafael Ramos,2
2025-12-18,Isabela da Paz,1
2025-12-18,Cecilia Costela,1
2025-12-18,Ana Laura Vargas,0
2025-12-18,Anthony Nogueira,0
2025-12-18,Benjamin Moraes,1
2025-12-18,Evelyn da Cruz,0
2025-12-19,Liz Guerra,1
2025-12-19,Leonardo Sales,0
2025-12-19,Francisco da Paz,1
2025-12-19,Luiz Miguel Albuquerque,0
2025-12-19,Brayan Teixeira,1
2025-12-19,Rafael Ramos,0
2025-12-19,Isabela da Paz,3
2025-12-19,Cecilia Costela,2
2025-12-19,Ana Laura Vargas,1
2025-12-19,Anthony Nogueira,0
2025-12-19,Benjamin Moraes,1
2025-12-19,Evelyn da Cruz,0
2025-12-22,Liz Guerra,1
2025-12-22,Leonardo Sales,0
2025-12-22,Francisco da Paz,0
2025-12-22,Luiz Miguel Albuquerque,0
2025-12-22,Brayan Teixeira,0
2025-12-22,Rafael Ramos,0
2025-12-22,Isabela da Paz,1
2025-12-22,Cecilia Costela,0
2025-12-22,Ana Laura Vargas,0
2025-12-22,Anthony Nogueira,1
2025-12-22,Benjamin Moraes,1
2025-12-22,Evelyn da Cruz,0
2025-12-23,Liz Guerra,1
2025-12-23,Leonardo Sales,1
2025-12-23,Francisco da Paz,1
2025-12-23,Luiz Miguel Albuquerque,1
2025-12-23,Brayan Teixeira,0
2025-12-23,Rafael Ramos,0
2025-12-23,Isabela da Paz,0
2025-12-23,Cecilia Costela,0
2025-12-23,Ana Laura Vargas,0
2025-12-23,Anthony Nogueira,1
2025-12-23,Benjamin Moraes,1
2025-12-23,Evelyn da Cruz,3
2025-12-24,Liz Guerra,0
2025-12-24,Leonardo Sales,0
2025-12-24,Francisco da Paz,1
2025-12-24,Luiz Miguel Albuquerque,0
2025-12-24,Brayan Teixeira,0
2025-12-24,Rafael Ramos,1
2025-12-24,Isabela da Paz,0
2025-12-24,Cecilia Costela,1
2025-12-24,Ana Laura Vargas,1
2025-12-24,Anthony Nogueira,0
2025-12-24,Benjamin Moraes,0
2025-12-24,Evelyn da Cruz,2
2025-12-25,Liz Guerra,0
2025-12-25,Leonardo Sales,1
2025-12-25,Francisco da Paz,0
2025-12-25,Luiz Miguel Albuquerque,1
2025-12-25,Brayan Teixeira,0
2025-12-25,Rafael Ramos,0
2025-12-25,Isabela da Paz,0
2025-12-25,Cecilia Costela,1
2025-12-25,Ana Laura Vargas,1
2025-12-25,Anthony Nogueira,0
2025-12-25,Benjamin Moraes,0
2025-12-25,Evelyn da Cruz,1
2025-12-26,Liz Guerra,0
2025-12-26,Leonardo Sales,0
2025-12-26,Francisco da Paz,1
2025-12-26,Luiz Miguel Albuquerque,2
2025-12-26,Brayan Teixeira,0
2025-12-26,Rafael Ramos,0
2025-12-26,Isabela da Paz,1
2025-12-26,Cecilia Costela,0
2025-12-26,Ana Laura Vargas,1
2025-12-26,Anthony Nogueira,1
2025-12-26,Benjamin Moraes,0
2025-12-26,Evelyn da Cruz,1
2025-12-29,Liz Guerra,0
2025-12-29,Leonardo Sales,1
2025-12-29,Francisco da Paz,0
2025-12-29,Luiz Miguel Albuquerque,0
2025-12-29,Brayan Teixeira,0
2025-12-29,Rafael Ramos,1
2025-12-29,Isabela da Paz,0
2025-12-29,Cecilia Costela,0
2025-12-29,Ana Laura Vargas,0
2025-12-29,Anthony Nogueira,0
2025-12-29,Benjamin Moraes,0
2025-12-29,Evelyn da Cruz,0
2025-12-30,Liz Guerra,2
2025-12-30,Leonardo Sales,0
2025-12-30,Francisco da Paz,0
2025-12-30,Luiz Miguel Albuquerque,0
2025-12-30,Brayan Teixeira,2
2025-12-30,Rafael Ramos,0
2025-12-30,Isabela da Paz,1
2025-12-30,Cecilia Costela,3
2025-12-30,Ana Laura Vargas,0
2025-12-30,Anthony Nogueira,1
2025-12-30,Benjamin Moraes,0
2025-12-30,Evelyn da Cruz,0
2025-12-31,Liz Guerra,0
2025-12-31,Leonardo Sales,1
2025-12-31,Francisco da Paz,3
2025-12-31,Luiz Miguel Albuquerque,0
2025-12-31,Brayan Teixeira,2
2025-12-31,Rafael Ramos,1
2025-12-31,Isabela da Paz,0
2025-12-31,Cecilia Costela,0
2025-12-31,Ana Laura Vargas,0
2025-12-31,Anthony Nogueira,0
2025-12-31,Benjamin Moraes,1
2025-12-31,Evelyn da Cruz,1
2026-01-01,Liz Guerra,1
2026-01-01,Leonardo Sales,1
2026-01-01,Francisco da Paz,0
2026-01-01,Luiz Miguel Albuquerque,2
2026-01-01,Brayan Teixeira,0
2026-01-01,Rafael Ramos,1
2026-01-01,Isabela da Paz,0
2026-01-01,Cecilia Costela,0
2026-01-01,Ana Laura Vargas,0
2026-01-01,Anthony Nogueira,2
2026-01-01,Benjamin Moraes,0
2026-01-01,Evelyn da Cruz,0
2026-01-02,Liz Guerra,0
2026-01-02,Leonardo Sales,0
2026-01-02,Francisco da Paz,0
2026-01-02,Luiz Miguel Albuquerque,3
2026-01-02,Brayan Teixeira,0
2026-01-02,Rafael Ramos,0
2026-01-02,Isabela da Paz,0
2026-01-02,Cecilia Costela,0
2026-01-02,Ana Laura Vargas,0
2026-01-02,Anthony Nogueira,2
2026-01-02,Benjamin Moraes,0
2026-01-02,Evelyn da Cruz,0
2026-01-05,Liz Guerra,2
2026-01-05,Leonardo Sales,1
2026-01-05,Francisco da Paz,3
2026-01-05,Luiz Miguel Albuquerque,0
2026-01-05,Brayan Teixeira,0
2026-01-05,Rafael Ramos,0
2026-01-05,Isabela da Paz,0
2026-01-05,Cecilia Costela,0
2026-01-05,Ana Laura Vargas,2
2026-01-05,Anthony Nogueira,1
2026-01-05,Benjamin Moraes,0
2026-01-05,Evelyn da Cruz,2
2026-01-06,Liz Guerra,0
2026-01-06,Leonardo Sales,0
2026-01-06,Francisco da Paz,0
2026-01-06,Luiz Miguel Albuquerque,0
2026-01-06,Brayan Teixeira,0
2026-01-06,Rafael Ramos,0
2026-01-06,Isabela da Paz,1
2026-01-06,Cecilia Costela,0
2026-01-06,Ana Laura Vargas,1
2026-01-06,Anthony Nogueira,3
2026-01-06,Benjamin Moraes,1
2026-01-06,Evelyn da Cruz,2
2026-01-07,Liz Guerra,0
2026-01-07,Leonardo Sales,1
2026-01-07,Francisco da Paz,1
2026-01-07,Luiz Miguel Albuquerque,2
2026-01-07,Brayan Teixeira,0
2026-01-07,Rafael Ramos,0
2026-01-07,Isabela da Paz,0
2026-01-07,Cecilia Costela,2
2026-01-07,Ana Laura Vargas,2
2026-01-07,Anthony Nogueira,1
2026-01-07,Benjamin Moraes,1
2026-01-07,Evelyn da Cruz,2
2026-01-08,Liz Guerra,1
2026-01-08,Leonardo Sales,0
2026-01-08,Francisco da Paz,0
2026-01-08,Luiz Miguel Albuquerque,1
2026-01-08,Brayan Teixeira,1
2026-01-08,Rafael Ramos,0
2026-01-08,Isabela da Paz,1
2026-01-08,Cecilia Costela,1
2026-01-08,Ana Laura Vargas,0
2026-01-08,Anthony Nogueira,2
2026-01-08,Benjamin Moraes,0
2026-01-08,Evelyn da Cruz,0
2026-01-09,Liz Guerra,0
2026-01-09,Leonardo Sales,0
2026-01-09,Francisco da Paz,0
2026-01-09,Luiz Miguel Albuquerque,2
2026-01-09,Brayan Teixeira,1
2026-01-09,Rafael Ramos,1
2026-01-09,Isabela da Paz,0
2026-01-09,Cecilia Costela,1
2026-01-09,Ana Laura Vargas,0
2026-01-09,Anthony Nogueira,0
2026-01-09,Benjamin Moraes,0
2026-01-09,Evelyn da Cruz,0
2026-01-12,Liz Guerra,2
2026-01-12,Leonardo Sales,1
2026-01-12,Francisco da Paz,0
2026-01-12,Luiz Miguel Albuquerque,0
2026-01-12,Brayan Teixeira,1
2026-01-12,Rafael Ramos,0
2026-01-12,Isabela da Paz,1
2026-01-12,Cecilia Costela,2
2026-01-12,Ana Laura Vargas,2
2026-01-12,Anthony Nogueira,1
2026-01-12,Benjamin Moraes,1
2026-01-12,Evelyn da Cruz,0
2026-01-13,Liz Guerra,0
2026-01-13,Leonardo Sales,2
2026-01-13,Francisco da Paz,2
2026-01-13,Luiz Miguel Albuquerque,0
2026-01-13,Brayan Teixeira,0
2026-01-13,Rafael Ramos,1
2026-01-13,Isabela da Paz,0
2026-01-13,Cecilia Costela,0
2026-01-13,Ana Laura Vargas,0
2026-01-13,Anthony Nogueira,1
2026-01-13,Benjamin Moraes,2
2026-01-13,Evelyn da Cruz,0
2026-01-14,Liz Guerra,1
2026-01-14,Leonardo Sales,2
2026-01-14,Francisco da Paz,1
2026-01-14,Luiz Miguel Albuquerque,1
2026-01-14,Brayan Teixeira,2
2026-01-14,Rafael Ramos,1
2026-01-14,Isabela da Paz,1
2026-01-14,Cecilia Costela,0
2026-01-14,Ana Laura Vargas,0
2026-01-14,Anthony Nogueira,0
2026-01-14,Benjamin Moraes,0
2026-01-14,Evelyn da Cruz,0
2026-01-15,Liz Guerra,2
2026-01-15,Leonardo Sales,0
2026-01-15,Francisco da Paz,0
2026-01-15,Luiz Miguel Albuquerque,0
2026-01-15,Brayan Teixeira,0
2026-01-15,Rafael Ramos,1
2026-01-15,Isabela da Paz,1
2026-01-15,Cecilia Costela,0
2026-01-15,Ana Laura Vargas,1
2026-01-15,Anthony Nogueira,0
2026-01-15,Benjamin Moraes,0
2026-01-15,Evelyn da Cruz,2
2026-01-16,Liz Guerra,1
2026-01-16,Leonardo Sales,1
2026-01-16,Francisco da Paz,1
2026-01-16,Luiz Miguel Albuquerque,0
2026-01-16,Brayan Teixeira,0
2026-01-16,Rafael Ramos,2
2026-01-16,Isabela da Paz,0
2026-01-16,Cecilia Costela,0
2026-01-16,Ana Laura Vargas,1
2026-01-16,Anthony Nogueira,0
2026-01-16,Benjamin Moraes,1
2026-01-16,Evelyn da Cruz,0
2026-01-19,Liz Guerra,0
2026-01-19,Leonardo Sales,0
2026-01-19,Francisco da Paz,1
2026-01-19,Luiz Miguel Albuquerque,0
2026-01-19,Brayan Teixeira,0
2026-01-19,Rafael Ramos,0
2026-01-19,Isabela da Paz,1
2026-01-19,Cecilia Costela,1
2026-01-19,Ana Laura Vargas,0
2026-01-19,Anthony Nogueira,0
2026-01-19,Benjamin Moraes,0
2026-01-19,Evelyn da Cruz,0
2026-01-20,Liz Guerra,1
2026-01-20,Leonardo Sales,1
2026-01-20,Francisco da Paz,0
2026-01-20,Luiz Miguel Albuquerque,3
2026-01-20,Brayan Teixeira,0
2026-01-20,Rafael Ramos,0
2026-01-20,Isabela da Paz,0
2026-01-20,Cecilia Costela,2
2026-01-20,Ana Laura Vargas,0
2026-01-20,Anthony Nogueira,1
2026-01-20,Benjamin Moraes,0
2026-01-20,Evelyn da Cruz,2
2026-01-21,Liz Guerra,0
2026-01-21,Leonardo Sales,1
2026-01-21,Francisco da Paz,2
2026-01-21,Luiz Miguel Albuquerque,1
2026-01-21,Brayan Teixeira,1
2026-01-21,Rafael Ramos,0
2026-01-21,Isabela da Paz,1
2026-01-21,Cecilia Costela,0
2026-01-21,Ana Laura Vargas,0
2026-01-21,Anthony Nogueira,1
2026-01-21,Benjamin Moraes,3
2026-01-21,Evelyn da Cruz,0
2026-01-22,Liz Guerra,0
2026-01-22,Leonardo Sales,0
2026-01-22,Francisco da Paz,1
2026-01-22,Luiz Miguel Albuquerque,1
2026-01-22,Brayan Teixeira,1
2026-01-22,Rafael Ramos,0
2026-01-22,Isabela da Paz,0
2026-01-22,Cecilia Costela,1
2026-01-22,Ana Laura Vargas,0
2026-01-22,Anthony Nogueira,1
2026-01-22,Benjamin Moraes,2
2026-01-22,Evelyn da Cruz,0
2026-01-23,Liz Guerra,0
2026-01-23,Leonardo Sales,0
2026-01-23,Francisco da Paz,1
2026-01-23,Luiz Miguel Albuquerque,1
2026-01-23,Brayan Teixeira,1
2026-01-23,Rafael Ramos,2
2026-01-23,Isabela da Paz,1
2026-01-23,Cecilia Costela,0
2026-01-23,Ana Laura Vargas,0
2026-01-23,Anthony Nogueira,1
2026-01-23,Benjamin Moraes,0
2026-01-23,Evelyn da Cruz,0
2026-01-26,Liz Guerra,2
2026-01-26,Leonardo Sales,0
2026-01-26,Francisco da Paz,1
2026-01-26,Luiz Miguel Albuquerque,1
2026-01-26,Brayan Teixeira,3
2026-01-26,Rafael Ramos,1
2026-01-26,Isabela da Paz,0
2026-01-26,Cecilia Costela,0
2026-01-26,Ana Laura Vargas,1
2026-01-26,Anthony Nogueira,1
2026-01-26,Benjamin Moraes,1
2026-01-26,Evelyn da Cruz,0
2026-01-27,Liz Guerra,2
2026-01-27,Leonardo Sales,0
2026-01-27,Francisco da Paz,0
2026-01-27,Luiz Miguel Albuquerque,0
2026-01-27,Brayan Teixeira,0
2026-01-27,Rafael Ramos,0
2026-01-27,Isabela da Paz,2
2026-01-27,Cecilia Costela,0
2026-01-27,Ana Laura Vargas,0
2026-01-27,Anthony Nogueira,0
2026-01-27,Benjamin Moraes,2
2026-01-27,Evelyn da Cruz,1
